Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.441728,0.405479,0.453414,0.540935,0.575189,
0.441728,0.405479,0.453414,0.540935,0.575189,
0.440387,0.385443,0.453954,0.541852,0.576393,
0.440387,0.385443,0.453954,0.541852,0.576393,
0.442255,0.389157,0.454906,0.550137,0.575675,
0.442255,0.389157,0.454906,0.550137,0.575675,
0.443182,0.388327,0.455528,0.549773,0.596927,
0.443182,0.388327,0.455528,0.549773,0.596927,
0.442121,0.386022,0.454393,0.548959,0.586796,
0.442121,0.386022,0.454393,0.548959,0.586796,
0.442850,0.386224,0.454600,0.548132,0.586345,
0.442850,0.386224,0.454600,0.548132,0.586345,
0.441979,0.385513,0.454720,0.548141,0.582286,
0.441979,0.385513,0.454720,0.548141,0.582286,
0.441876,0.383648,0.452901,0.548720,0.582371,
0.441876,0.383648,0.452901,0.548720,0.582371,
0.441371,0.382652,0.467243,0.549543,0.581879,
0.441371,0.382652,0.467243,0.549543,0.581879,
0.440875,0.429042,0.487489,0.549368,0.598422,
0.440875,0.429042,0.487489,0.549368,0.598422,
0.443489,0.432843,0.489281,0.548635,0.580674,
0.443489,0.432843,0.489281,0.548635,0.580674,
0.443906,0.442393,0.481211,0.549237,0.582675,
0.443906,0.442393,0.481211,0.549237,0.582675,
0.443519,0.442509,0.485453,0.549435,0.598122,
0.443519,0.442509,0.485453,0.549435,0.598122,
0.444469,0.443527,0.453168,0.549488,0.581894,
0.444469,0.443527,0.453168,0.549488,0.581894,
0.445122,0.444170,0.452892,0.549095,0.597754,
0.445122,0.444170,0.452892,0.549095,0.597754,
0.445270,0.443719,0.453476,0.549010,0.581854,
0.445270,0.443719,0.453476,0.549010,0.581854,
0.444190,0.441308,0.429198,0.549173,0.599453,
0.444190,0.441308,0.429198,0.549173,0.599453,
0.443618,0.440096,0.429114,0.549540,0.599262,
0.443618,0.440096,0.429114,0.549540,0.599262,
0.444680,0.441850,0.427841,0.550132,0.576034,
0.444680,0.441850,0.427841,0.550132,0.576034,
0.444054,0.439613,0.428110,0.550148,0.576696,
0.444054,0.439613,0.428110,0.550148,0.576696,
0.442790,0.437902,0.429067,0.547635,0.577421,
0.442790,0.437902,0.429067,0.547635,0.577421,
0.444081,0.442561,0.427901,0.547737,0.577654,
0.444081,0.442561,0.427901,0.547737,0.577654,
0.444132,0.442100,0.443156,0.549176,0.581085,
0.444132,0.442100,0.443156,0.549176,0.581085,
0.443641,0.442131,0.445129,0.572230,0.581265,
0.443641,0.442131,0.445129,0.572230,0.581265,
